accuracy_train,accuracy_test,num_params,c1_ksize,c1_stride,c2_ksize,c2_stride,num_filters,config_num,config_label
0.0,0.0,0,3,1,1,1,64,74,"Config: 3/1, 1/1 flt #64"
0.0,0.0,0,3,1,1,2,16,75,"Config: 3/1, 1/2 flt #16"
0.0,0.0,0,3,1,1,2,32,76,"Config: 3/1, 1/2 flt #32"
0.0,0.0,0,3,1,1,2,64,77,"Config: 3/1, 1/2 flt #64"
0.0,0.0,0,3,1,2,1,16,78,"Config: 3/1, 2/1 flt #16"
0.0,0.0,0,3,1,2,1,32,79,"Config: 3/1, 2/1 flt #32"
0.0,0.0,0,3,1,2,1,64,80,"Config: 3/1, 2/1 flt #64"
0.0,0.0,0,3,1,2,2,16,81,"Config: 3/1, 2/2 flt #16"
0.0,0.0,0,3,1,2,2,32,82,"Config: 3/1, 2/2 flt #32"
0.0,0.0,0,3,1,2,2,64,83,"Config: 3/1, 2/2 flt #64"
0.0,0.0,0,3,1,3,1,16,84,"Config: 3/1, 3/1 flt #16"
0.0,0.0,0,3,1,3,1,32,85,"Config: 3/1, 3/1 flt #32"
0.0,0.0,0,3,1,3,1,64,86,"Config: 3/1, 3/1 flt #64"
0.0,0.0,0,3,1,3,2,16,87,"Config: 3/1, 3/2 flt #16"
0.0,0.0,0,3,1,3,2,32,88,"Config: 3/1, 3/2 flt #32"
0.0,0.0,0,3,1,3,2,64,89,"Config: 3/1, 3/2 flt #64"
0.0,0.0,0,3,2,1,1,16,90,"Config: 3/2, 1/1 flt #16"
0.0,0.0,0,3,2,1,1,32,91,"Config: 3/2, 1/1 flt #32"
0.0,0.0,0,3,2,1,1,64,92,"Config: 3/2, 1/1 flt #64"
0.0,0.0,0,3,2,1,2,16,93,"Config: 3/2, 1/2 flt #16"
0.0,0.0,0,3,2,1,2,32,94,"Config: 3/2, 1/2 flt #32"
0.0,0.0,0,3,2,1,2,64,95,"Config: 3/2, 1/2 flt #64"
0.0,0.0,0,3,2,2,1,16,96,"Config: 3/2, 2/1 flt #16"
0.0,0.0,0,3,2,2,1,32,97,"Config: 3/2, 2/1 flt #32"
0.0,0.0,0,3,2,2,1,64,98,"Config: 3/2, 2/1 flt #64"
0.0,0.0,0,3,2,2,2,16,99,"Config: 3/2, 2/2 flt #16"
0.0,0.0,0,3,2,2,2,32,100,"Config: 3/2, 2/2 flt #32"
0.0,0.0,0,3,2,2,2,64,101,"Config: 3/2, 2/2 flt #64"
0.0,0.0,0,3,2,3,1,16,102,"Config: 3/2, 3/1 flt #16"
0.0,0.0,0,3,2,3,1,32,103,"Config: 3/2, 3/1 flt #32"
0.0,0.0,0,3,2,3,1,64,104,"Config: 3/2, 3/1 flt #64"
0.0,0.0,0,3,2,3,2,16,105,"Config: 3/2, 3/2 flt #16"
0.0,0.0,0,3,2,3,2,32,106,"Config: 3/2, 3/2 flt #32"
0.0,0.0,0,3,2,3,2,64,107,"Config: 3/2, 3/2 flt #64"
